id,title
22b5-sytd,List of hospitals that have Domestic Violence Coordinators
22zm-qrtq,"A statistical breakdown of the age of Civilian Complaint Review Board (CCRB) substantiated cases, by year, measured from the date of the reports in the years 2205 through 2009.The age of the docket is measured by the number of open cases at the end of each reporting period."
23rb-xz43,"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009"
25th-nujf,The most popular baby names by sex and mother's ethnicity in New York City.
26kp-bgdh,"(Grades 3 - 8)
2013 - 2015
Notes 
Starting in 2013, the NY State Education Department (NYSED) changed the exams to be Common Core aligned. Results on earlier exams from 2006-2012 can be found at this link: http://schools.nyc.gov/NR/exeres/05289E74-2D81-4CC0-81F6-E1143E28F4C4,frameless.htm

Results presented here include all students who sat for either the Math or ELA exam. On the NYSED website, results for ""matched"" students can be found. To account for participation changes across years and anticipate the importance of year-to-year same-cohort comparisons for the Class of 2022, ""matched"" Math and ELA results were calculated to include 4th grade students who were tested in both the current and previous year and to include 5th – 8th grade students who were tested in all three years.
In order to comply with FERPA regulations on public reporting of education outcomes, rows with 5 or fewer students are suppressed.
For 2013, District 75 students are represented in their home districts and boroughs. For 2014 & 2015, they are not included.
Charter schools are not included. School level charter data can be found here: http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults

In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam. 
A change in State testing policy drove a decrease in eighth grade proficiency rates in 2014: to reduce double testing, most students in accelerated math courses who took the Algebra Regents exam were exempted from taking the 7th or 8th grade State math assessment.
Former English Language Learners includes any students who were classified as English Language Learners in at least one of the previous two school years."
26ze-s5bx,"Average daily inmate population by fiscal year

Note: The data for each of these indicators is based upon year of report, not year of occurrence."
27b5-th78,
27vb-augk,A summary of the restrictions placed on water use during non-emergency and drought emergency conditions.
28rh-vpvr,"OPT maintains an inventory of all the vehicles used by contracted bus vendors in service to the Department of Education. The vehicles inventory can include school buses, ambulances or coach buses. This dataset details the active vehicle inventory for each bus vendor. 
There are a variety of different vehicles used to serve students requiring curb-to-curb service because an Individualized Education Plan (IEP) indicates specific transportation needs. The standard bus is the only vehicle used for general education students eligible for bus service but who do not have an IEP."
294z-97kb,Summary of environmentally preferable procurements
29i8-bmct,"The DHS Local Law 19, Section 612 report provides aggregate data on outreach services, permanent housing placements and shelter length of stay"
2b6x-2bw6,"Detailed report in regards to Local Law 48 of 2011.
An updated version of this data can be found at:
https://data.cityofnewyork.us/City-Government/City-owned-and-Leased-Property/4e2n-s75z"
2bh6-qmgg,Latest available data and trends in the state assessment results of math for grades 3 through 8. Data are disaggregated by gender.
2cav-chmn,Current ratings of the conditions of streets throughout the 5 boroughs.
2cvx-33uz,"All accreditation fees are per year, unless otherwise indicated."
2cy5-9sjh,All 311 Service Requests from 2010 to present. This information is automatically updated daily.
2de2-6x2h,"An index of pedestrian volumes tracking the long-term trends of neighborhood commercial corridors. Data is collected at 114 locations, including 100 on-street locations (primarily retail corridors), 13 East River and Harlem River bridge locations, and the Hudson River Greenway. Screenline sampling is conducted during May and September on the sidewalk, mid-block (or mid-bridge) on both sides of street where applicable. Pedestrian volumes at 50 sample locations around the City are combined to create the Pedestrian Volume Index for the Mayor’s Management Report."
2ei9-vg68,Priority codes assigned to applicants by NYCHA
