ente,tipo,n_dataset
COMMISSARIO DELEGATO PER LA RICOSTRUZIONE ABRUZZO,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,7
REGIONE MARCHE,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,6
REGIONE LIGURIA,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,363
REGIONE BASILICATA,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,227
ARPA UMBRIA,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,49
LAZIO INNOVA,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,2
REGIONE FRIULI VENEZIA GIULIA,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,48
REGIONE UMBRIA,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,97
REGIONE EMILIA-ROMAGNA,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,228
REGIONE VENETO,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,125
REGIONE LAZIO,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,139
REGIONE PUGLIA,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,15
REGIONE LOMBARDIA,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,830
REGIONE PIEMONTE,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,469
REGIONE SARDEGNA,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,23
REGIONE TOSCANA,HTTP://PURL.ORG/ADMS/PUBLISHERTYPE/REGIONALAUTHORITY,116
