provincia;num_abitazioni;o3_media_annua_g_m3;pm10_media_annua_g_m3;no2_media_annua_g_m3;so2_media_annua_g_m3;pm2_5_media_annua_g_m3;co_media_annua_mg_m3;c6h6_media_annua_g_m3
MB;488;38.5;39;41.5;5.8;31;0.55;
CR;179;45;37.5;26.5;2.5;28.5;0.25;0.9
MI;6337;45.5;35.5;31;4.5;30.5;0.35;0
PV;586;43;35.5;36;7;19.5;0.25;0.8
BS;3299;45;35.5;38.5;3.8;29;0.3;1.4
LO;75;44.5;33.5;26.5;4.5;26;0.2;1.5
BG;1835;52;32.5;33.5;3;24.5;0.4;0.9
VA;1905;43.5;31;39;2;22;0.2;1.3
MN;1062;50.5;31;20;3.35;25;0.3;0
LC;1026;51.5;27;32.5;2;21;0.2;0.7
CO;2549;49.5;23;31;1.5;21;0.3;2.5
SO;6674;51.5;21;18.5;2;;0.3;0
